cluster,product,count,rank
0,Debt collection,150,1.0
0,Mortgage,52,2.0
0,Vehicle loan or lease,41,3.0
0,"Payday loan, title loan, personal loan, or advance loan",26,4.0
0,Student loan,19,5.0
1,Debt collection,216,1.0
1,Vehicle loan or lease,4,2.0
1,"Payday loan, title loan, personal loan, or advance loan",3,3.0
1,Credit card,1,4.0
2,Credit card,129,1.0
2,Checking or savings account,87,2.0
2,Mortgage,69,3.0
2,"Money transfer, virtual currency, or money service",50,4.0
2,Vehicle loan or lease,48,5.0
3,Debt collection,39,1.0
4,Debt collection,19,1.0
5,Credit card,149,1.0
5,Checking or savings account,39,2.0
5,Debt collection,17,3.0
5,Prepaid card,10,4.0
5,"Money transfer, virtual currency, or money service",9,5.0
6,Checking or savings account,130,1.0
6,"Money transfer, virtual currency, or money service",47,2.0
6,Credit card,12,3.0
6,Prepaid card,6,4.0
6,Mortgage,4,5.0
7,Checking or savings account,82,1.0
7,"Money transfer, virtual currency, or money service",59,2.0
7,Credit card,21,3.0
7,Prepaid card,3,4.0
7,Debt collection,1,5.0
8,Debt collection,78,1.0
8,Credit reporting or other personal consumer reports,56,2.0
8,Credit card,36,3.0
8,Checking or savings account,9,4.0
8,Vehicle loan or lease,9,5.0
9,Checking or savings account,31,1.0
9,Credit card,11,2.0
9,Mortgage,6,3.0
9,"Money transfer, virtual currency, or money service",4,4.0
9,Credit reporting or other personal consumer reports,2,5.0
